Fantasy Italo Radio	https://italo.live-streams.nl/fantasy	0	80s
CLASSIC HITS RADIO 70 80 DiscoFunk ModernSoul Boogie	https://radiopanther.radiolebowski.com/play	0	1970s
Synthetic FM The New Italo generation sound	https://mediaserv38.live-streams.nl:18030/stream	0	80s
1000 HITS 80s	http://c2.auracast.net:8048/stream	0	70s
RMF 80s Disco	http://195.150.20.9/80SDISCO	0	disco
1000 Discohits	http://stream.laut.fm/1000discohits	0	70s
RMC Disco Funk	http://edge.radiomontecarlo.net/rmcweb025	0	disco
80s80s Italo Disco	http://streams.80s80s.de/italohits/mp3-192/streams.80s80s.de/	0	80s
- 0 N - Disco on Radio	https://0n-disco.radionetz.de/0n-disco.mp3	0	70er
London Soul Radio	http://londonsoulradio.out.airtime.pro:8000/londonsoulradio_a	0	boogie woogie
Disco Studio 54	https://maiban00.radioca.st/stream	0	disco
101.ru Italo Disco	http://pub0202.101.ru:8000/stream/pro/aac/64/161	0	dance 80s
RMI-Italo Disco Classic	https://cast1.torontocast.com:1165/stream	0	disco
__80 HITS	http://stream.laut.fm/80sexitos	0	70s
Clubmix	https://stream.zeno.fm/vztn8ux96zhvv	0	club
Radio 80 Afro	https://sphera.fluidstream.eu/r80_afro.mp3	0	disco
Radio Disco-Dance	https://radiodd.cloud/radio/8000/radio.mp3	0	70
RMI - Euro Disco	https://cast1.torontocast.com:1335/stream	0	80s
RMI - Italo Disco Classic	https://cast1.torontocast.com:1165/stream	0	80s
Radio Italo4you	https://ssl-1.radiohost.pl:8018/stream	0	